bin,predicted_probability,observed_frequency,count
0,0.013098924420773983,0.020235601877530072,1207970
1,0.13749141991138458,0.1533029917676193,29882
2,0.24250087141990662,0.25720324841472914,8989
3,0.344902366399765,0.3756601056168987,4166
4,0.44680237770080566,0.46489859594383776,2564
5,0.5471940040588379,0.5657237936772047,1803
6,0.6483426690101624,0.68646408839779,1448
7,0.7487154006958008,0.7490406753645433,1303
8,0.8507274389266968,0.8607594936708861,1185
9,0.9534170627593994,0.9568854568854569,1554
